Repo,App,Status,Notes,PR Link
"truvolv/long-home-products","lhp-main-site","completed","already updated (not counted toward batch)",""
"truvolv/blue-ridge-bath","brb-bathroom-lp","completed","already updated (not counted toward batch)",""
"truvolv/blue-ridge-bath","brb-main","completed","already updated (not counted toward batch)",""
"truvolv/sullivans-bath-and-window","sbw-main","completed","already updated (not counted toward batch)",""
"truvolv/cms","pfc-main","completed","already updated (not counted toward batch)",""
"truvolv/your-select-home","ysh-main","completed","already updated (not counted toward batch)",""
"truvolv/spancraft","spancraft-main","completed","already updated (not counted toward batch)",""
"truvolv/theut-glass","theut-glass","completed","already updated (not counted toward batch)",""
"truvolv/rgs-exteriors","rgs-main","completed","already updated (not counted toward batch)",""
"truvolv/baths-for-the-brave","bftb-main","completed","already updated (not counted toward batch)",""
"truvolv/dreamhome-remodeling-ct","dhrct-main-site","completed","already updated (not counted toward batch)",""
"truvolv/aspen-windows","aspen-main","completed","already updated (not counted toward batch)",""
"truvolv/finish-line-strategies","fls-main","completed","already updated (not counted toward batch)",""
"truvolv/k-c","main-kingdom-contracting","completed","already updated (not counted toward batch)",""
"truvolv/everest-home-improvement","ehi-main-site","completed","already updated (not counted toward batch)",""
"truvolv/everest-home-improvement","ehi-micro-basement","completed","already updated (not counted toward batch)",""
"truvolv/white-cloud-cc","wccc-main","completed","already updated (not counted toward batch)",""
"truvolv/hunterdon","hrswc-main","completed","already updated (not counted toward batch)",""
"truvolv/nulook-hd","nhd-main","completed","already updated (not counted toward batch)",""
"truvolv/todco-roofing","todco-main","completed","already updated (not counted toward batch)",""
"truvolv/roofing-store","roofing-store-main","completed","already updated (not counted toward batch)",""
"truvolv/armor-guard","armorguard-main","completed","already updated (not counted toward batch)",""
"truvolv/durante-he","main-durante-home-exteriors","completed","already updated (not counted toward batch)",""
"truvolv/durante-he","micro-bathrooms","completed","already updated (not counted toward batch)",""
"truvolv/durante-he","micro-doors","completed","already updated (not counted toward batch)",""
"truvolv/durante-he","micro-outdoor-living","completed","already updated (not counted toward batch)",""
"truvolv/durante-he","micro-siding","completed","already updated (not counted toward batch)",""
"truvolv/durante-he","micro-windows","completed","already updated (not counted toward batch)",""
"truvolv/pinnacle-exteriors","pe-main","completed","already updated (not counted toward batch)",""
"truvolv/sweetwater-home-services","main-site-sms","completed","already updated (not counted toward batch)",""
"truvolv/five-star-contracting","main-fsc","completed","already updated (not counted toward batch)",""
"truvolv/sharper-impressions-painting","sharper-impr","completed","already updated (not counted toward batch)",""
"truvolv/bath-america","ba-main","completed","already updated (not counted toward batch)",""
"truvolv/destination-motivation","dm-main","completed","already updated (not counted toward batch)",""
"truvolv/style-craft-remodeling-","scr-main","completed","already updated (not counted toward batch)",""
"truvolv/rose-remodeling","rr-main","completed","already updated (not counted toward batch)",""
"truvolv/the-bath-boys","tbb-main-site","completed","already updated (not counted toward batch)",""
"truvolv/contract-exteriors","ce-main","completed","already updated (not counted toward batch)",""
"truvolv/men-with-tools","mwt-main","completed","already updated (not counted toward batch)",""
"truvolv/precision-roofing","precision-roofing-main","completed","already updated (not counted toward batch)",""
"truvolv/denver-glass-interiors","dgi-main","completed","already updated (not counted toward batch)",""
"truvolv/burr-custom-exteriors","bce-main","completed","already updated (not counted toward batch)",""
"truvolv/legacy-cc","lcc-main","completed","already updated (not counted toward batch)",""
"truvolv/trident-bath","trident-main","completed","already updated (not counted toward batch)",""
"truvolv/all-american-roofing","aar-main","completed","already updated (not counted toward batch)",""
"truvolv/alco-products","main-alco","completed","already updated (not counted toward batch)",""
"truvolv/b-w-glass","bandw-glass","completed","already updated (not counted toward batch)",""
"truvolv/my-shower-today","my-shower-today-main","completed","already updated (not counted toward batch)",""
"truvolv/360-windows-and-doors","360-windows-and-doors","completed","already updated (not counted toward batch)",""
"truvolv/for-energy","for-energy","completed","already updated (not counted toward batch)",""
"truvolv/integrity-home-pro","ihp-main","completed","already updated (not counted toward batch)",""
"truvolv/galla-rini-roofing","gr-main-site","completed","already updated (not counted toward batch)",""
"truvolv/bel-sd","bell-shower-door-main","completed","already updated (not counted toward batch)",""
"truvolv/covered-exteriors","covered-exteriors","completed","already updated (not counted toward batch)",""
"truvolv/integrity-construction-consulting","icc-main","completed","already updated (not counted toward batch)",""
"truvolv/mjf-home-upgrades","mjf-main","completed","already updated (not counted toward batch)",""
"truvolv/mattsson-roofing","mattsson-main","completed","already updated (not counted toward batch)",""
"truvolv/nulook-home-design","nu-look-brand-lp","completed","already updated (not counted toward batch)",""
"truvolv/nulook-home-design","nu-look-main","completed","already updated (not counted toward batch)",""
"truvolv/nulook-home-design","nulook-roofing-lp","completed","already updated (not counted toward batch)",""
"truvolv/nulook-home-design","nulook-siding-lp","completed","already updated (not counted toward batch)",""
"truvolv/nulook-home-design","nulook-windows-lp","completed","already updated (not counted toward batch)",""
"truvolv/innovative-gutter-solutions","igs-main","completed","already updated (not counted toward batch)",""
"truvolv/demo","baths-lp","completed","already updated (not counted toward batch)",""
"truvolv/demo","bryan-espey","completed","already updated (not counted toward batch)",""
"truvolv/demo","carrie-testing-site","completed","already updated (not counted toward batch)",""
"truvolv/demo","carrie-testing","completed","already updated (not counted toward batch)",""
"truvolv/demo","cody-test","completed","already updated (not counted toward batch)",""
"truvolv/demo","eden-testing","completed","already updated (not counted toward batch)",""
"truvolv/demo","elliot-testing","completed","already updated (not counted toward batch)",""
"truvolv/demo","fewa-test-demo-site","completed","already updated (not counted toward batch)",""
"truvolv/demo","garage-door-demo","completed","already updated (not counted toward batch)",""
"truvolv/demo","jacuzzi-demo","completed","already updated (not counted toward batch)",""
"truvolv/demo","power-washing-demo","completed","already updated (not counted toward batch)",""
"truvolv/demo","v1","completed","already updated (not counted toward batch)",""
"truvolv/demo","v2","completed","already updated (not counted toward batch)",""
"truvolv/demo","v3","completed","already updated (not counted toward batch)",""
"truvolv/demo","v4","completed","already updated (not counted toward batch)",""
"truvolv/demo","v5","completed","already updated (not counted toward batch)",""
"truvolv/demo","zoobia-test-site","completed","already updated (not counted toward batch)",""
"truvolv/ramco","main-r-h-i","completed","already updated (not counted toward batch)",""
"truvolv/ramco","micro-redirect","completed","already updated (not counted toward batch)",""
"truvolv/ramco","micro-siding","completed","already updated (not counted toward batch)",""
"truvolv/ramco","micro-windows","completed","already updated (not counted toward batch)",""
"truvolv/truvolv","main","partial","middleware updated, package not updated (next 14.2.1 not found)",""
"truvolv/altruistic-advisory","main-a-a","completed","already updated (not counted toward batch)",""
"truvolv/gutter-cover-kc","gckc-main","completed","already updated (not counted toward batch)",""
"truvolv/allmaster-home-services","ahs-main","completed","already updated (not counted toward batch)",""
"truvolv/signature-home-services","lp-kitchen-shs","completed","already updated (not counted toward batch)",""
"truvolv/signature-home-services","lp-roofing-shs","completed","already updated (not counted toward batch)",""
"truvolv/signature-home-services","lp-siding-shs","completed","already updated (not counted toward batch)",""
"truvolv/signature-home-services","shs-main-site","completed","already updated (not counted toward batch)",""
"truvolv/signature-home-services","shs-roofing-lp","completed","already updated (not counted toward batch)",""
"truvolv/privacy-fence-company","privacy-fencing-main","completed","already updated (not counted toward batch)",""
"truvolv/wealthy-contractor","twc-main","completed","already updated (not counted toward batch)",""
"truvolv/empire-home-remodeling","main-ehr","completed","already updated (not counted toward batch)",""
"truvolv/kitchens-today","kt-main-site","completed","already updated (not counted toward batch)",""
"truvolv/ocala-baths-fl","ocala-baths","completed","already updated (not counted toward batch)",""
"truvolv/sea-glass-jax","sea-glass-jax-main","completed","already updated (not counted toward batch)",""
"truvolv/gutter-guards-direct","gutter-guards-direct-lp","completed","already updated (not counted toward batch)",""
"truvolv/swis-pros","main-swis-pros","completed","already updated (not counted toward batch)",""
"truvolv/customfit-baths","customfit-main","completed","already updated (not counted toward batch)",""
"truvolv/ridgeline-floors","rf-main","completed","already updated (not counted toward batch)",""
"truvolv/lifetime-solutions","ls-main","completed","already updated (not counted toward batch)",""
"truvolv/love-your-bath","lyb-main-site","completed","already updated (not counted toward batch)",""
"truvolv/kubala-home-improvement","main-kubala","completed","already updated (not counted toward batch)",""
"truvolv/quality-moving-services","quality-moving-services","completed","already updated (not counted toward batch)",""
"truvolv/total-bath-systems","main-site-tbs","completed","already updated (not counted toward batch)",""
"truvolv/comfort-kb","main-comfort-kitchen-and-bath","completed","already updated (not counted toward batch)",""
"truvolv/k-h-painting-pros","kh-painting-main","completed","already updated (not counted toward batch)",""
"truvolv/bam-showers","bam-showers","completed","already updated (not counted toward batch)",""
"truvolv/weatherwize-lhp","main-weatherwize-lhp","completed","already updated (not counted toward batch)",""
"truvolv/capital-construction","ccc-main","completed","already updated (not counted toward batch)",""
"truvolv/all-seasons-windows-and-doors","asr-main","completed","already updated (not counted toward batch)",""
"truvolv/all-seasons-windows-and-doors","aswd-main","completed","already updated (not counted toward batch)",""
"truvolv/solatube","dallas-micro","completed","already updated (not counted toward batch)",""
"truvolv/solatube","los-angeles-micro","completed","already updated (not counted toward batch)",""
"truvolv/solatube","orange-county-micro","completed","already updated (not counted toward batch)",""
"truvolv/solatube","phoenix-micro","completed","already updated (not counted toward batch)",""
"truvolv/solatube","san-diego-micro","completed","already updated (not counted toward batch)",""
"truvolv/solar-shield-inc","main-site-ssi","completed","already updated (not counted toward batch)",""
"truvolv/fba","floors-by-angie-main","completed","already updated (not counted toward batch)",""
"truvolv/k-p-remodeling","kp-main","completed","already updated (not counted toward batch)",""
"truvolv/jacuzzi","bathwraps-promo","no-changes","files exist but expected strings not found",""
"truvolv/jacuzzi","bathwraps","completed","already updated (not counted toward batch)",""
"truvolv/jacuzzi","jbr-main","completed","already updated (not counted toward batch)",""
"truvolv/jacuzzi","jbr-promo","completed","already updated (not counted toward batch)",""
"truvolv/jacuzzi","jbrx-atl-baths","completed","already updated (not counted toward batch)",""
"truvolv/jacuzzi","jbrx-az-baths","completed","already updated (not counted toward batch)",""
"truvolv/jacuzzi","jbrx-de-baths","completed","already updated (not counted toward batch)",""
"truvolv/jacuzzi","jbrx-fl-baths","completed","already updated (not counted toward batch)",""
"truvolv/jacuzzi","jbrx-nc-baths","completed","already updated (not counted toward batch)",""
"truvolv/jacuzzi","jbrx-or-baths","completed","already updated (not counted toward batch)",""
"truvolv/jacuzzi","jbrx-sea-baths","completed","already updated (not counted toward batch)",""
"truvolv/jacuzzi","jbrx-stl-baths","completed","already updated (not counted toward batch)",""
"truvolv/jacuzzi","main-jbr-greenville","completed","already updated (not counted toward batch)",""
"truvolv/illumination-window-door","illum-new","completed","already updated (not counted toward batch)",""
"truvolv/illumination-window-door","illumination-main","completed","already updated (not counted toward batch)",""
"truvolv/frey","frey-main","completed","already updated (not counted toward batch)",""
"truvolv/frey","jjs-custom","completed","already updated (not counted toward batch)",""
"truvolv/blind-and-shutter-spot","bss-main","completed","already updated (not counted toward batch)",""
"truvolv/blind-and-shutter-spot","calculator","completed","already updated (not counted toward batch)",""
"truvolv/pond-roofing","pond-roofing-main","completed","already updated (not counted toward batch)",""
"truvolv/coors-remodeling","coors-main","completed","already updated (not counted toward batch)",""
"truvolv/coors-remodeling","heavenly-decks-main","completed","already updated (not counted toward batch)",""
"truvolv/clear-choice-hi","cchi-main","completed","already updated (not counted toward batch)",""
"truvolv/inside-out-roofing","inside-out-main","completed","already updated (not counted toward batch)",""
