Repo,Issue,Details
"truvolv/qa-truspd-837-hero-content-vertic","pull-failed","Could not pull latest changes"
"truvolv/bath-experts","no-changes","Repository processed but no changes were needed"
"truvolv/cornerstone-construction","no-changes","Repository processed but no changes were needed"
"truvolv/mccoy-roofing","no-changes","Repository processed but no changes were needed"
"truvolv/brackets-custom-window-coverings","no-changes","Repository processed but no changes were needed"
"truvolv/prairie-exteriors-painting","no-changes","Repository processed but no changes were needed"
"truvolv/cleancut-bath","no-changes","Repository processed but no changes were needed"
"truvolv/mako-shower-and-bath","no-changes","Repository processed but no changes were needed"
"truvolv/kris-konstruction-","no-changes","Repository processed but no changes were needed"
"truvolv/dagmar-pros","no-changes","Repository processed but no changes were needed"
"truvolv/cyclone-contracting","no-changes","Repository processed but no changes were needed"
"truvolv/love-your-bath","no-changes","Repository processed but no changes were needed"
"truvolv/nailed-it-home-solutions","no-changes","Repository processed but no changes were needed"
"truvolv/sir-home","no-changes","Repository processed but no changes were needed"
"truvolv/purella","no-changes","Repository processed but no changes were needed"
"truvolv/calbear-construction","no-changes","Repository processed but no changes were needed"
"truvolv/struxure-scottsdale","no-changes","Repository processed but no changes were needed"
"truvolv/aqua-shield-nm","no-changes","Repository processed but no changes were needed"
"truvolv/k-h-home-solutions","no-changes","Repository processed but no changes were needed"
"truvolv/durante-he","no-changes","Repository processed but no changes were needed"
"truvolv/pro-home-1","no-changes","Repository processed but no changes were needed"
"truvolv/willis-roofing","no-changes","Repository processed but no changes were needed"
"truvolv/struxure-atl","no-changes","Repository processed but no changes were needed"
"truvolv/coastal-bath-co","no-changes","Repository processed but no changes were needed"
"truvolv/aspen-glass","no-changes","Repository processed but no changes were needed"
"truvolv/rainsoft-ne-iowa","no-changes","Repository processed but no changes were needed"
"truvolv/rainsoft-great-lakes","no-changes","Repository processed but no changes were needed"
"truvolv/mode-renovation","no-changes","Repository processed but no changes were needed"
"truvolv/asp-superhome","no-changes","Repository processed but no changes were needed"
"truvolv/jbr-greenville","no-changes","Repository processed but no changes were needed"
"truvolv/tailor-made-windows-inc","no-changes","Repository processed but no changes were needed"
"truvolv/struxure-northshore","no-changes","Repository processed but no changes were needed"
"truvolv/five-star-homes","no-changes","Repository processed but no changes were needed"
"truvolv/dwight-and-sons","no-changes","Repository processed but no changes were needed"
"truvolv/homefix","no-changes","Repository processed but no changes were needed"
"truvolv/philadelphia-ge","no-changes","Repository processed but no changes were needed"
"truvolv/jbr-by-capital","no-changes","Repository processed but no changes were needed"
"truvolv/home-value-renovation","no-changes","Repository processed but no changes were needed"
"truvolv/main-abc-jacuzzi","no-changes","Repository processed but no changes were needed"
"truvolv/ohio-state-windows","no-changes","Repository processed but no changes were needed"
"truvolv/hegg-windows-doors","no-changes","Repository processed but no changes were needed"
"truvolv/direct-remodels","no-changes","Repository processed but no changes were needed"
"truvolv/black-rock-roofing","no-changes","Repository processed but no changes were needed"
"truvolv/main-bath-remodel-by-c","no-changes","Repository processed but no changes were needed"
"truvolv/asp-windows","no-changes","Repository processed but no changes were needed"
"truvolv/leap","no-changes","Repository processed but no changes were needed"
"truvolv/yrp","no-changes","Repository processed but no changes were needed"
"truvolv/florida-energy-water-air-pure","no-changes","Repository processed but no changes were needed"
"truvolv/ltg-coatings","no-changes","Repository processed but no changes were needed"
"truvolv/erdmann-exteriors","no-changes","Repository processed but no changes were needed"
"truvolv/207-roofers","no-changes","Repository processed but no changes were needed"
"truvolv/bathroom-pros-nj","no-changes","Repository processed but no changes were needed"
"truvolv/on-track-doors","no-changes","Repository processed but no changes were needed"
"truvolv/bath-works-mi","no-changes","Repository processed but no changes were needed"
"truvolv/dgd","no-changes","Repository processed but no changes were needed"
"truvolv/home-pro-mi","no-changes","Repository processed but no changes were needed"
"truvolv/innovative-exteriors","no-changes","Repository processed but no changes were needed"
"truvolv/siding-and-windows-wizards","no-changes","Repository processed but no changes were needed"
"truvolv/jjs-custom","no-changes","Repository processed but no changes were needed"
"truvolv/trim-a-seal","no-changes","Repository processed but no changes were needed"
"truvolv/carolina-home-remodeling","no-changes","Repository processed but no changes were needed"
"truvolv/inside-out-roofing","no-changes","Repository processed but no changes were needed"
"truvolv/coors-remodeling","no-changes","Repository processed but no changes were needed"
"truvolv/pond-roofing","no-changes","Repository processed but no changes were needed"
"truvolv/frey","no-changes","Repository processed but no changes were needed"
"truvolv/illumination-window-door","no-changes","Repository processed but no changes were needed"
"truvolv/k-p-remodeling","no-changes","Repository processed but no changes were needed"
"truvolv/fba","no-changes","Repository processed but no changes were needed"
"truvolv/solar-shield-inc","no-changes","Repository processed but no changes were needed"
"truvolv/solatube","no-changes","Repository processed but no changes were needed"
"truvolv/all-seasons-windows-and-doors","no-changes","Repository processed but no changes were needed"
"truvolv/weatherwize-lhp","no-changes","Repository processed but no changes were needed"
"truvolv/bam-showers","no-changes","Repository processed but no changes were needed"
"truvolv/k-h-painting-pros","no-changes","Repository processed but no changes were needed"
"truvolv/comfort-kb","no-changes","Repository processed but no changes were needed"
"truvolv/total-bath-systems","no-changes","Repository processed but no changes were needed"
"truvolv/quality-moving-services","no-changes","Repository processed but no changes were needed"
"truvolv/lifetime-solutions","no-changes","Repository processed but no changes were needed"
"truvolv/ridgeline-floors","no-changes","Repository processed but no changes were needed"
"truvolv/gutter-guards-direct","no-changes","Repository processed but no changes were needed"
"truvolv/sea-glass-jax","no-changes","Repository processed but no changes were needed"
"truvolv/ocala-baths-fl","no-changes","Repository processed but no changes were needed"
"truvolv/wealthy-contractor","no-changes","Repository processed but no changes were needed"
"truvolv/privacy-fence-company","no-changes","Repository processed but no changes were needed"
"truvolv/allmaster-home-services","no-changes","Repository processed but no changes were needed"
"truvolv/ramco","no-changes","Repository processed but no changes were needed"
"truvolv/nulook-home-design","no-changes","Repository processed but no changes were needed"
"truvolv/mattsson-roofing","no-changes","Repository processed but no changes were needed"
"truvolv/integrity-construction-consulting","no-changes","Repository processed but no changes were needed"
"truvolv/mjf-home-upgrades","no-changes","Repository processed but no changes were needed"
"truvolv/covered-exteriors","no-changes","Repository processed but no changes were needed"
"truvolv/bel-sd","no-changes","Repository processed but no changes were needed"
"truvolv/galla-rini-roofing","no-changes","Repository processed but no changes were needed"
"truvolv/integrity-home-pro","no-changes","Repository processed but no changes were needed"
"truvolv/for-energy","no-changes","Repository processed but no changes were needed"
"truvolv/360-windows-and-doors","no-changes","Repository processed but no changes were needed"
"truvolv/b-w-glass","no-changes","Repository processed but no changes were needed"
"truvolv/alco-products","no-changes","Repository processed but no changes were needed"
"truvolv/all-american-roofing","no-changes","Repository processed but no changes were needed"
"truvolv/trident-bath","no-changes","Repository processed but no changes were needed"
"truvolv/legacy-cc","no-changes","Repository processed but no changes were needed"
"truvolv/burr-custom-exteriors","no-changes","Repository processed but no changes were needed"
"truvolv/denver-glass-interiors","no-changes","Repository processed but no changes were needed"
"truvolv/precision-roofing","no-changes","Repository processed but no changes were needed"
"truvolv/contract-exteriors","no-changes","Repository processed but no changes were needed"
"truvolv/bath-america","no-changes","Repository processed but no changes were needed"
"truvolv/the-bath-boys","no-changes","Repository processed but no changes were needed"
"truvolv/sweetwater-home-services","no-changes","Repository processed but no changes were needed"
"truvolv/rgs-exteriors","no-changes","Repository processed but no changes were needed"
"truvolv/baths-for-the-brave","no-changes","Repository processed but no changes were needed"
"truvolv/dreamhome-remodeling-ct","no-changes","Repository processed but no changes were needed"
"truvolv/aspen-windows","no-changes","Repository processed but no changes were needed"
"truvolv/finish-line-strategies","no-changes","Repository processed but no changes were needed"
"truvolv/k-c","no-changes","Repository processed but no changes were needed"
"truvolv/white-cloud-cc","no-changes","Repository processed but no changes were needed"
"truvolv/hunterdon","no-changes","Repository processed but no changes were needed"
"truvolv/roofing-store","no-changes","Repository processed but no changes were needed"
"truvolv/pinnacle-exteriors","no-changes","Repository processed but no changes were needed"
"truvolv/theut-glass","no-changes","Repository processed but no changes were needed"
"truvolv/spancraft","no-changes","Repository processed but no changes were needed"
"truvolv/your-select-home","no-changes","Repository processed but no changes were needed"
"truvolv/sullivans-bath-and-window","no-changes","Repository processed but no changes were needed"
"truvolv/blue-ridge-bath","no-changes","Repository processed but no changes were needed"
"truvolv/long-home-products","no-changes","Repository processed but no changes were needed"
"truvolv/install-services","no-changes","Repository processed but no changes were needed"
"truvolv/cypress-bath","no-changes","Repository processed but no changes were needed"
"truvolv/bird-dog-construction","no-changes","Repository processed but no changes were needed"
"truvolv/style-craft-remodeling-","no-changes","Repository processed but no changes were needed"
"truvolv/twin-cities-jacuzzi","no-changes","Repository processed but no changes were needed"
"truvolv/kitchens-today","no-changes","Repository processed but no changes were needed"
"truvolv/brian-gottlieb","no-changes","Repository processed but no changes were needed"
"truvolv/hydrotek-plumbing","no-changes","Repository processed but no changes were needed"
"truvolv/destination-motivation","no-changes","Repository processed but no changes were needed"
"truvolv/refined-spaces","no-changes","Repository processed but no changes were needed"
"truvolv/vista-homes-utah","no-changes","Repository processed but no changes were needed"
"truvolv/express-bath","no-changes","Repository processed but no changes were needed"
"truvolv/a-plus-pro-services","no-changes","Repository processed but no changes were needed"
"truvolv/americas-best-windows-and-doors","no-changes","Repository processed but no changes were needed"
"truvolv/town-and-country-roofing","no-changes","Repository processed but no changes were needed"
"truvolv/bath-fitter-tucson","no-changes","Repository processed but no changes were needed"
"truvolv/scc-pros","no-changes","Repository processed but no changes were needed"
"truvolv/swis-pros","no-changes","Repository processed but no changes were needed"
"truvolv/sharper-impressions-painting","no-changes","Repository processed but no changes were needed"
"truvolv/capital-construction","no-changes","Repository processed but no changes were needed"
"truvolv/kubala-home-improvement","no-changes","Repository processed but no changes were needed"
"truvolv/bee-windows","no-changes","Repository processed but no changes were needed"
"truvolv/altruistic-advisory","no-changes","Repository processed but no changes were needed"
"truvolv/floortek","no-changes","Repository processed but no changes were needed"
"truvolv/mkd-kitchen-and-bath","no-changes","Repository processed but no changes were needed"
"truvolv/aspire-services","no-changes","Repository processed but no changes were needed"
"truvolv/mod-bath","no-changes","Repository processed but no changes were needed"
"truvolv/carole-frederick","no-changes","Repository processed but no changes were needed"
"truvolv/cms","no-changes","Repository processed but no changes were needed"
"truvolv/uat","no-changes","Repository processed but no changes were needed"
"truvolv/five-star-contracting","no-changes","Repository processed but no changes were needed"
"truvolv/denver-pergolas","no-changes","Repository processed but no changes were needed"
"truvolv/floorology","no-changes","Repository processed but no changes were needed"
"truvolv/kitchen-restyled","no-changes","Repository processed but no changes were needed"
"truvolv/the-board-store","no-changes","Repository processed but no changes were needed"
"truvolv/universal-windows-of-manchester","no-changes","Repository processed but no changes were needed"
"truvolv/jacuzzi","no-changes","Repository processed but no changes were needed"
"truvolv/peg-sur","no-changes","Repository processed but no changes were needed"
"truvolv/ljstone","no-changes","Repository processed but no changes were needed"
"truvolv/walshs-remodeling","no-changes","Repository processed but no changes were needed"
"truvolv/rose-remodeling","no-changes","Repository processed but no changes were needed"
"truvolv/renew-it-by-kurtis","no-changes","Repository processed but no changes were needed"
"truvolv/lyfe-ocs","no-changes","Repository processed but no changes were needed"
"truvolv/endless-poxybilities","no-changes","Repository processed but no changes were needed"
"truvolv/exterior-pros","no-changes","Repository processed but no changes were needed"
"truvolv/surbers-usa","no-changes","Repository processed but no changes were needed"
"truvolv/lehigh-gap-exteriors","no-changes","Repository processed but no changes were needed"
"truvolv/kingspan","no-changes","Repository processed but no changes were needed"
"truvolv/south-florida-windows-doors","no-changes","Repository processed but no changes were needed"
"truvolv/gerrys-roofing","no-changes","Repository processed but no changes were needed"
"truvolv/complete-exteriors-colorado","no-changes","Repository processed but no changes were needed"
"truvolv/window-perfections","no-changes","Repository processed but no changes were needed"
"truvolv/everlasting-windows-and-doors","no-changes","Repository processed but no changes were needed"
"truvolv/bath-fitter-inland-nw","no-changes","Repository processed but no changes were needed"
"truvolv/savannah-cabinetry","no-changes","Repository processed but no changes were needed"
"truvolv/okeefe-and-flanagan-electric","no-changes","Repository processed but no changes were needed"
"truvolv/hutchco-home-and-bath","no-changes","Repository processed but no changes were needed"
"truvolv/kurtis-kitchen-and-bath","no-changes","Repository processed but no changes were needed"
"truvolv/qa-truspd-966-contact-map-embed-o","no-changes","Repository processed but no changes were needed"
"truvolv/qa-truspd-932-job-nimbus-reverse-","no-changes","Repository processed but no changes were needed"
"truvolv/safe-harbor-exteriors","no-changes","Repository processed but no changes were needed"
"truvolv/armor-guard","no-changes","Repository processed but no changes were needed"
"truvolv/everest-home-improvement","no-changes","Repository processed but no changes were needed"
"truvolv/haven-bath-ca","no-changes","Repository processed but no changes were needed"
"truvolv/nessler-and-associates","no-changes","Repository processed but no changes were needed"
"truvolv/empire-home-remodeling","no-changes","Repository processed but no changes were needed"
"truvolv/spokane-stone-creations","no-changes","Repository processed but no changes were needed"
"truvolv/ezpro-kitchen-and-bath","no-changes","Repository processed but no changes were needed"
"truvolv/usa-showers","no-changes","Repository processed but no changes were needed"
"truvolv/gutter-cover-kc","no-changes","Repository processed but no changes were needed"
"truvolv/southwest-style","no-changes","Repository processed but no changes were needed"
"truvolv/luxury-bath-tampa","no-changes","Repository processed but no changes were needed"
"truvolv/nimmo-roofing-and-construction","no-changes","Repository processed but no changes were needed"
"truvolv/bathing-solutions","no-changes","Repository processed but no changes were needed"
"truvolv/waterworks-of-delmarva","no-changes","Repository processed but no changes were needed"
"truvolv/roof-masters","no-changes","Repository processed but no changes were needed"
"truvolv/legendary-calrep","no-changes","Repository processed but no changes were needed"
"truvolv/paulson-monuments","no-changes","Repository processed but no changes were needed"
"truvolv/cabinet-experts","no-changes","Repository processed but no changes were needed"
"truvolv/the-home-authority","no-changes","Repository processed but no changes were needed"
"truvolv/cleanedge-cabinetry","no-changes","Repository processed but no changes were needed"
"truvolv/one-and-done-bath-solutions","no-changes","Repository processed but no changes were needed"
"truvolv/main-rsb","no-changes","Repository processed but no changes were needed"
"truvolv/midwest-construction-remodeling","no-changes","Repository processed but no changes were needed"
"truvolv/heins-contracting","no-changes","Repository processed but no changes were needed"
"truvolv/american-home-design","no-changes","Repository processed but no changes were needed"
"truvolv/clemens-home-solutions","no-changes","Repository processed but no changes were needed"
"truvolv/clean-cut-roofing-and-siding","no-changes","Repository processed but no changes were needed"
"truvolv/blind-and-shutter-spot","no-changes","Repository processed but no changes were needed"
"truvolv/qa-truspd-764-new-footer","no-changes","Repository processed but no changes were needed"
"truvolv/temp-payload-org","no-changes","Repository processed but no changes were needed"
"truvolv/calm-water-and-bath","no-changes","Repository processed but no changes were needed"
"truvolv/d5-capital-holdings","no-changes","Repository processed but no changes were needed"
"truvolv/rosewood-home-remodeling","no-changes","Repository processed but no changes were needed"
"truvolv/continental-siding","no-changes","Repository processed but no changes were needed"
"truvolv/crawford-farms-concrete-stone","no-changes","Repository processed but no changes were needed"
"truvolv/bluebird-windows-doors","no-changes","Repository processed but no changes were needed"
"truvolv/gutter-helmet-by-around-the-house","no-changes","Repository processed but no changes were needed"
"truvolv/yancey-home-improvements","no-changes","Repository processed but no changes were needed"
"truvolv/premier-home-services","no-changes","Repository processed but no changes were needed"
"truvolv/1364-services","no-changes","Repository processed but no changes were needed"
"truvolv/premier-services-nj","no-changes","Repository processed but no changes were needed"
"truvolv/wonder-windows-showers-baths","no-changes","Repository processed but no changes were needed"
"truvolv/ohp","no-changes","Repository processed but no changes were needed"
"truvolv/ml-fixes","no-changes","Repository processed but no changes were needed"
"truvolv/cardinal-baths","no-changes","Repository processed but no changes were needed"
"truvolv/designed-hi","no-changes","Repository processed but no changes were needed"
"truvolv/nutech-mold-water","no-changes","Repository processed but no changes were needed"
"truvolv/always-green-turf","no-changes","Repository processed but no changes were needed"
"truvolv/mcgill-plumbing","no-changes","Repository processed but no changes were needed"
"truvolv/timeproof-usa","no-changes","Repository processed but no changes were needed"
"truvolv/top-tier-kitchen","no-changes","Repository processed but no changes were needed"
"truvolv/refloor","no-changes","Repository processed but no changes were needed"
"truvolv/cyprus-air","no-changes","Repository processed but no changes were needed"
"truvolv/rjw-exteriors","no-changes","Repository processed but no changes were needed"
"truvolv/midwest-home-solutions","no-changes","Repository processed but no changes were needed"
"truvolv/united-construction-solutions","no-changes","Repository processed but no changes were needed"
"truvolv/window-place-plus","no-changes","Repository processed but no changes were needed"
"truvolv/deck-and-drive","no-changes","Repository processed but no changes were needed"
"truvolv/men-with-tools","no-changes","Repository processed but no changes were needed"
"truvolv/california-bathrooms","no-changes","Repository processed but no changes were needed"
"truvolv/qa-truspd-543-highimpactheroformo","no-changes","Repository processed but no changes were needed"
"truvolv/cal-energy-consultant","no-changes","Repository processed but no changes were needed"
"truvolv/sunbrella","no-changes","Repository processed but no changes were needed"
"truvolv/c3-construction","no-changes","Repository processed but no changes were needed"
"truvolv/signature-home-services","no-changes","Repository processed but no changes were needed"
"truvolv/struxure-utah","no-changes","Repository processed but no changes were needed"
"truvolv/hurricane-window-specialists","no-changes","Repository processed but no changes were needed"
"truvolv/stoneluxe-coatings","no-changes","Repository processed but no changes were needed"
"truvolv/outdoor-altimate","no-changes","Repository processed but no changes were needed"
"truvolv/my-shower-today","no-changes","Repository processed but no changes were needed"
"truvolv/windows-doors-carolinas","no-changes","Repository processed but no changes were needed"
"truvolv/schantz-home-improvement","no-changes","Repository processed but no changes were needed"
"truvolv/expert-roofing-services","no-changes","Repository processed but no changes were needed"
"truvolv/t-and-c-reno","no-changes","Repository processed but no changes were needed"
"truvolv/bullseye-baths","no-changes","Repository processed but no changes were needed"
"truvolv/jim-woods-roofing","no-changes","Repository processed but no changes were needed"
"truvolv/paramount-builders","no-changes","Repository processed but no changes were needed"
"truvolv/three-d-kitchen","no-changes","Repository processed but no changes were needed"
"truvolv/erdmann-outdoor-living","no-changes","Repository processed but no changes were needed"
"truvolv/lifetime-kitchen-bath","no-changes","Repository processed but no changes were needed"
"truvolv/roof-360","no-changes","Repository processed but no changes were needed"
"truvolv/your-home-improvement-co","no-changes","Repository processed but no changes were needed"
"truvolv/abby-home","no-changes","Repository processed but no changes were needed"
"truvolv/pemberton-appliance","no-changes","Repository processed but no changes were needed"
"truvolv/my-viva-home","no-changes","Repository processed but no changes were needed"
"truvolv/schulte-construction","no-changes","Repository processed but no changes were needed"
"truvolv/de-custom-floors","no-changes","Repository processed but no changes were needed"
"truvolv/site-scraper","skipped","Not a turbo repository (no turbo.json found)"
"truvolv/one-day-bath-solutions","no-changes","Repository processed but no changes were needed"
"truvolv/quality-home-services","no-changes","Repository processed but no changes were needed"
"truvolv/weatherwiz-gutters","no-changes","Repository processed but no changes were needed"
"truvolv/qa-truspd-961-lead-perfection-gs-","no-changes","Repository processed but no changes were needed"
"truvolv/outback-deck","no-changes","Repository processed but no changes were needed"
"truvolv/southern-showers","no-changes","Repository processed but no changes were needed"
"truvolv/qa-truspd-972-extension-paths-to-","no-changes","Repository processed but no changes were needed"
"truvolv/a-a-services","no-changes","Repository processed but no changes were needed"
"truvolv/luxury-bath-njpa","no-changes","Repository processed but no changes were needed"
"truvolv/home-pros-central-pa","no-changes","Repository processed but no changes were needed"
"truvolv/customfit-baths","no-changes","Repository processed but no changes were needed"
"truvolv/bytown-bath","no-changes","Repository processed but no changes were needed"
"truvolv/todco-roofing","no-changes","Repository processed but no changes were needed"
"truvolv/firm-foundation-construction","no-changes","Repository processed but no changes were needed"
"truvolv/qa-truspd-001-qa-env-test","push-failed","Could not push changes"
"truvolv/ez-pro-express","no-changes","Repository processed but no changes were needed"
"truvolv/qa-truspd-001-404-page-logging","no-changes","Repository processed but no changes were needed"
"truvolv/owens-corning-bfs","no-changes","Repository processed but no changes were needed"
"truvolv/truvolv-corporate","no-changes","Repository processed but no changes were needed"
"truvolv/demo","no-changes","Repository processed but no changes were needed"
"truvolv/bash-scripts","skipped","Not a turbo repository (no turbo.json found)"
"truvolv/jacuzzibathremodel-cf-workers","skipped","Not a turbo repository (no turbo.json found)"
"truvolv/qa-truspd-954-i360-lightning-api-","push-failed","Could not push changes"
"truvolv/qa-truspd-001-sorting-block-optio","push-failed","Could not push changes"
"truvolv/temp-ot-testing-org-18e99e5b7def65","skipped","No apps/ directory found"
"truvolv/qa-trspd-ot-testing","skipped","No apps/ directory found"
"truvolv/qa-trspd-test-search","skipped","No apps/ directory found"
"truvolv/nulook-hd-9027c97da73ffe","skipped","No apps/ directory found"
"truvolv/qa-truspd-274-no-load-hero-video-","push-failed","Could not push changes"
"truvolv/qa-truspd-000-qa-env-tweaks","push-failed","Could not push changes"
"truvolv/qa-truspd-301-find-feature-in-tru-c27f3afe27d2d8","push-failed","Could not push changes"
"truvolv/audit-q2-2026-v2-62e203040e0f72","skipped","No apps/ directory found"
"truvolv/audit-demo-org-57f8882183e323","skipped","No apps/ directory found"
"truvolv/eden-org","skipped","No apps/ directory found"
"truvolv/eden-test-org-3-5b90684cd1aaca","push-failed","Could not push changes"
"truvolv/paramount-builders-payments","skipped","Not a turbo repository (no turbo.json found)"
"truvolv/qa-truspd-12345-qa-env-test","push-failed","Could not push changes"
