Repo,App,Status,Notes,PR Link
"truvolv/qa-truspd-965-email-validation","qa-env-site","success","next.config.mjs updated to use createNextConfig","https://github.com/truvolv/qa-truspd-965-email-validation/pull/1"
"truvolv/qa-truspd-952-acculynx-v2-integra","qa-env-site","success","next.config.mjs updated to use createNextConfig","https://github.com/truvolv/qa-truspd-952-acculynx-v2-integra/pull/1"
"truvolv/bath-experts","hub-bath-cabinets","completed","already updated (not counted toward batch)",""
"truvolv/bath-experts","main-bath-experts","completed","already updated (not counted toward batch)",""
"truvolv/cornerstone-construction","cc-main","completed","already updated (not counted toward batch)",""
"truvolv/cornerstone-construction","radio-lp","completed","already updated (not counted toward batch)",""
"truvolv/cornerstone-construction","roofing-lp","completed","already updated (not counted toward batch)",""
"truvolv/cornerstone-construction","siding-lp","completed","already updated (not counted toward batch)",""
"truvolv/mccoy-roofing","main-mccoy","completed","already updated (not counted toward batch)",""
"truvolv/brackets-custom-window-coverings","bcwc-main","completed","already updated (not counted toward batch)",""
"truvolv/prairie-exteriors-painting","pep-main","completed","already updated (not counted toward batch)",""
"truvolv/cleancut-bath","lp-cc-bath","completed","already updated (not counted toward batch)",""
"truvolv/mako-shower-and-bath","main-mako-sab","completed","already updated (not counted toward batch)",""
"truvolv/kris-konstruction-","kk-main","completed","already updated (not counted toward batch)",""
"truvolv/kris-konstruction-","kk-micro-baths","completed","already updated (not counted toward batch)",""
"truvolv/kris-konstruction-","kk-micro-kitchens","completed","already updated (not counted toward batch)",""
"truvolv/kris-konstruction-","kk-micro-roofing","completed","already updated (not counted toward batch)",""
"truvolv/kris-konstruction-","kkusa-redirect","completed","already updated (not counted toward batch)",""
"truvolv/dagmar-pros","main-dagmar","completed","already updated (not counted toward batch)",""
"truvolv/cyclone-contracting","cyc-con-main","completed","already updated (not counted toward batch)",""
"truvolv/love-your-bath","lyb-main-site","completed","already updated (not counted toward batch)",""
"truvolv/nailed-it-home-solutions","nihs-main","completed","already updated (not counted toward batch)",""
"truvolv/sir-home","main-shi","completed","already updated (not counted toward batch)",""
"truvolv/purella","p-main","completed","already updated (not counted toward batch)",""
"truvolv/calbear-construction","cb-construction","completed","already updated (not counted toward batch)",""
"truvolv/struxure-scottsdale","strux-scott-red","completed","already updated (not counted toward batch)",""
"truvolv/struxure-scottsdale","struxure-scd","completed","already updated (not counted toward batch)",""
"truvolv/stressless-remodeling","go-stressless","completed","already updated (not counted toward batch)",""
